School Name,address,postal_code,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,Latitude,Longitude,Full Address
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,67587312,na,CANBERRA_PS@MOE.EDU.SG,Sembawang MRT Station,Bus No. 859,MR TAN SIAN YEOW TERENCE,MADAM ONG LIXIANG JOYCE,MR SHAH JAHAN B MOHAMED IQBAL,na,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.45125024371543,103.815858858929,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE   ,757699,67583110,na,CANBERRA_SS@MOE.EDU.SG,SEMBAWANG MRT,"859, 962",MR LEONG KOK KEE,MADAM ONG LAY YEN,MR SYED FAISAL BIN SYED ISMAIL,MRS AMANDA TAN,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.45319086315972,103.814203583818,51 SEMBAWANG DRIVE CANBERRA SECONDARY SCHOOL SINGAPORE 757699
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,68441417,na,ccps@moe.edu.sg,Nearest MRT station: Mattar Station (about 3-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100; Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155; Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",MADAM SIA LU-MING EUGENIE,MR LEE KOK MENG CLEMENT,MR LIM TIAN SIONG,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.32664424544839,103.882227964852,1 SALLIM ROAD CANOSSA CATHOLIC PRIMARY SCHOOL SINGAPORE 387621
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,88256,65119556,na,cantonment_ps@moe.edu.sg,Tanjong Pagar; Outram Park,"121, 167, 196",MADAM FOO YIN PING GRACE,MISS CHENG SHIN MIIN,MRS JANE CHEAH,MR LOH SIANG KIANG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.27547252623201,103.839962631748,1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,65836227,na,CASUARINA_PS@MOE.EDU.SG,Pasir Ris MRT Station,"Nos. 12, 21 & 358",MR POH CHEE YANG,MR TAYEB B RAJIB,MADAM HAFSAH BINTE ABDULLAH,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37246063927999,103.957020286115,30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,64561322 (Secondary),64593938 (Primary),CHS@MOE.EDU.SG,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",MADAM TEO YVONNE,MR TAN CHER HUI PHILIP,MADAM WONG WAI SEE KELLIE,MISS LOW PEI LIN BEVERLY,MR FONG KOK WAI,na,na,BISHAN,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,Yes,Yes,CHINESE,na,na,1.3547230747166,103.844874676599,9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD   ,297822,62537267,na,CATHOLIC_JC@MOE.EDU.SG,"Toa Payoh (NS Line), Novena (NS Line), Stevens (DT Line), Caldecott (CC Line,TE Line)","105, 132, 151, 153, 154, 156, 186, 966, 985",MRS WOO SOO MIN,MADAM KAM WAI CHIN,MR TAN JEK SUAN,na,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL,1.32455605783219,103.835028842353,129 WHITLEY ROAD CATHOLIC JUNIOR COLLEGE SINGAPORE 297822
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE   ,349692,62820244,na,CEDARGIRLSSS@MOE.EDU.SG,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",MADAM THONG MAY TENG,MADAM TAN GEOK LAN,MISS ONG SHU HUI,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,Yes,No,Yes,CHINESE,MALAY,TAMIL,1.33375800216334,103.873933064886,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,62830113,na,CEDAR_PS@MOE.EDU.SG,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",MR CHRIS CHUA,MS CHOONG PEI CHIN,MR NG CHU SIU,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3355885014312,103.87562104944,15 CEDAR AVENUE CEDAR PRIMARY SCHOOL SINGAPORE 349700
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3   ,529894,67868481,na,CHANGKATCHGI@MOE.EDU.SG,SIMEI MRT,"5, 9, 20, 38",MR HO MING DA,MS SUBASHINI D/O SIVARAM,na,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.33950630072876,103.953245525564,23 SIMEI STREET 3 CHANGKAT CHANGI SECONDARY SCHOOL SINGAPORE 529894
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,67844740,na,CHANGKAT_PS@MOE.EDU.SG,Simei MRT Station,"9,38,5",MADAM CHENG HUEY TENG,MRS LEE LI THENG,MADAM SITI NAZRAH BTE ABDUL RAHMAN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34023163951633,103.952080114035,11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,63459007,na,CHIJKTPS@MOE.EDU.SG,MARINE PARADE; EUNOS; PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",MADAM MISCHA LEIGH PEREIRA,MADAM TAN POH KUAN JOYCELYN,MISS SHARON NG YE CHIN,MR ONG HENG KIONG (KONG QINGQIANG),na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.30648535277087,103.911105620496,17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,828728,na,na,valour_ps@moe.edu.sg,na,na,MRS CHARIS WONG,MADAM TAN PIN PIN,MR LEE WEI TE,MR BOH HONG JIK,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.40683570215319,103.899078139493,49 PUNGGOL CENTRAL VALOUR PRIMARY SCHOOL SINGAPORE 828728
CHIJ (KELLOCK),1 Bukit Teresa Road   ,99757,62731710,na,CHIJKS@MOE.EDU.SG,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,"MS NG CHIOU HIEN, HELEN MRS HELEN TAN",MADAM YUE  SHARON,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.275022723,103.828157564896,1 BUKIT TERESA ROAD CHIJ (KELLOCK) SINGAPORE 099757
CHIJ KATONG CONVENT,346 MARINE TERRACE   ,449150,64494405,na,CHIJKTCS@MOE.EDU.SG,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT, MARINE TERRACE MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MISS CHEN MEI CHUEN,MISS CHIA SIEW HUI,MISS LIM AI HUI ANNIE,na,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.30644268034894,103.917144350028,346 MARINE TERRACE CHIJ KATONG CONVENT SINGAPORE 449150
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,62814132,na,CHIJOLGCS@MOE.EDU.SG,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",MISS TAN LEE YIN GRACE,MISS LIAT MEI KUEN GERALDINE SHARON,MRS WONG- LIM ENG LING ANGELINA,na,na,na,na,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35742952269615,103.864009397373,2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,63852012,na,CHIJPS@MOE.EDU.SG,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",MS ALBUQUERQUE KAREN ANNE,MADAM LOH AH LAH CATHERINE MICHELLE,MADAM WONG YEN LING,na,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37330297140128,103.897575728303,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,67653551,na,CHIJBTS@MOE.EDU.SG,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",MS PHAM HONG LIEN PHYLLIS G.,MADAM ADELINE CHONG NGOR YIM,MADAM SNG POH GEOK,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.36646014136363,103.768739256709,4A CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679330
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,63536362,na,CHIJTPPS@MOE.EDU.SG,Toa Payoh,"59, 231, 141",MADAM CHUA SOOK LIAN JUDINA,MRS SNG CHARMAINE,MRS MELISSA YAP,MADAM YVONNE LIM BUAY HUANG (LIN MEIFANG),na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33275264711587,103.841847263786,628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH   ,319764,63544573,na,CHIJTPSS@MOE.EDU.SG,TOA PAYOH MRT,"59, 141, 231",MADAM RACHEL ANG LAY KOON,MADAM CHRIS KOH,MADAM LIM LAY HOON,MISS KESAVAN PAULA ANNE,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.33246079948303,103.843271625083,626 LORONG 1 TOA PAYOH CHIJ SECONDARY (TOA PAYOH) SINGAPORE 319764
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY   ,548595,64897589,na,CHIJSJCS@MOE.EDU.SG,SENGKANG MRT,"50, 82, 86, 88, 119, 136",MRS VALERIE PINTO,MISS HO WEI LING,MISS TAN LAI YEE MICHELLE,na,na,na,na,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.39175222260369,103.902464991543,62 SENGKANG EAST WAY CHIJ SAINT JOSEPH'S CONVENT SINGAPORE 548595
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,64511335 (Secondary),64566169 (Primary),CHIJSNG@MOE.EDU.SG,"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT","76, 265, 268, 269",MISS TAN SIN WEI WINNIE,MADAM LOW CHIA YEE,MR NG WAI KIT KELVIN,MISS YEO TECK WOON,MADAM TAN LIH LIN (CHEN LILIN),MR LIM KAY WAH BENEDICT,MR THAM WAI KONG,ANG MO KIO,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,No,Yes,CHINESE,na,na,1.37347687878916,103.834253269436,501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD   ,99138,64775700,na,CHIJSTCS@MOE.EDU.SG,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",MADAM TAN MEI MEI JENNY,MISS WEE MEI YEN JANICE,MR YEO NGEE YANG,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.27535177510054,103.822440701642,160 LOWER DELTA ROAD CHIJ SAINT THERESA'S CONVENT SINGAPORE 099138
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,62579571,na,CFPS@MOE.EDU.SG,Yishun MRT station,Feeder Service 811,MR TAN KING MING,MISS LIM HWEE MIEN ANGELYNNA,MR SOON WOO SIN,na,na,na,na,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43839562897006,103.839309173817,170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,67845054,na,CZPS@MOE.EDU.SG,Tampines MRT Station; Tampines East MRT Station,"3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",MR LIM WEE JAMES,MADAM RANJIT KAUR D/O MUKHTAR SINGH,MISS SHERRY OH SWEE LYN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35070739237744,103.951399541868,1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17   ,737924,68932789,na,CCSS@MOE.EDU.SG,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",MR TAY JUNCHENG ADRIAN,MADAM HENG EU LIN,MR ONG KAH HUI VICTOR,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.42656780901455,103.793451105242,20 WOODLANDS DRIVE 17 CHRIST CHURCH SECONDARY SCHOOL SINGAPORE 737924
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,67661583,na,CCKPS@MOE.EDU.SG,Choa Chu Kang MRT Station and Southview LRT Station,"Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2; Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",MADAM KUEK YEN YEN SHEREE,MADAM CHEW BOON HWEE,MS LIM CHWEE ENG MRS ONG PI HOCK,MADAM PUSPHAALATHA D/O AYAVOO,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37775890093367,103.741832917421,20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905
CHUA CHU KANG SECONDARY SCHOOL,31 TECK WHYE CRESCENT   ,688848,67636807,na,CCKSS@MOE.EDU.SG,"CHOA CHU KANG MRT, PHOENIX LRT","190, 190A, 307, 975, 982E, 985",MR CHENG GHEE HOCK TIMOTHY,MADAM HARTATI BTE OSMAN,MADAM LEE EE LEI JANE,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.38333422637073,103.75510327583,31 TECK WHYE CRESCENT CHUA CHU KANG SECONDARY SCHOOL SINGAPORE 688848
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD   ,439012,63449686,na,CCHMS@MOE.EDU.SG,DAKOTA MRT,"10, 12, 14, 14A, 14E 16, 16M, 30, 31, 32, 33, 40, 43, 43E 135, 134, 196, 196A 197, 401, 853M",MR YAO ZHIXUAN TERENCE,MR CHONG TENG YUAN,MADAM NG BEE LING,MADAM ONG LEE FONG,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),Yes,Yes,No,No,CHINESE,na,na,1.30509154753048,103.891653229373,50 GOODMAN ROAD CHUNG CHENG HIGH SCHOOL (MAIN) SINGAPORE 439012
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61   ,768547,67587397,na,CCHBS@MOE.EDU.SG,KHATIB MRT,"Yishun Street 61 (opposite school) - 812; Yishun Ave 2 - 39, 85, 117, 851, 852, 853, 854, 855, 857, 858, 860, 965, 969",MR CHIA GUO HAO,MR WOO LEE YEN,MR CHEONG WING FOOK MELVIN,na,na,na,na,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.41922603586175,103.837390782849,11 YISHUN STREET 61 CHUNG CHENG HIGH SCHOOL (YISHUN) SINGAPORE 768547
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,67732898,na,CLEMENTI_PS@MOE.EDU.SG,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MADAM KHOO HENG OI CATHERINE,MADAM LEE SWEE MEI CHERYL,MADAM LOW TAN YING,MS TUNG AI JUI,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.31506321827875,103.763144493687,8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3   ,129904,67789543,na,CTSS@MOE.EDU.SG,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",MADAM RASIDAH BTE RAHIM,MISS HUANG KEXIN,MR NG PING HWEE,na,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.31553912945073,103.762020598524,10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD   ,608784,65645204,na,CWSS@MOE.EDU.SG,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",MR ANG KAY YONG JEREMY,MRS CLAIRE TAN SHI YING,MR DANIEL ONG POH SOON,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.31920395934801,103.745637393049,698 WEST COAST ROAD COMMONWEALTH SECONDARY SCHOOL SINGAPORE 608784
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,63882798,na,CVPS@MOE.EDU.SG,Sengkang,"83 (along Compassvale Street); 27, 89, 89E & 965 (along Compassvale Road).",MR VINCENT LEE WEI YEE,MRS MARIA KOH,MR CHIN WENG KIT KELVIN,MR KHOU BENG CHEW,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39444529636566,103.897812229905,21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT   ,545083,68815998,na,CVSS@MOE.EDU.SG,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965",MR CHUA TUNG KIAN,MADAM LEE WUI LIN JACQUELINE,MR SUKHDEV SINGH S/O GURDEEP SINGH,na,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.39614083952009,103.899847164494,51 COMPASSVALE CRESCENT COMPASSVALE SECONDARY SCHOOL SINGAPORE 545083
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,67632452,na,CONCORD_PS@MOE.EDU.SG,Choa Chu Kang MRT Station,Bus 300 and 983,MDM CHUA LENG YIN,MADAM GOH PUAY HOON JENNY,MADAM SALBIAH BTE ABAS,MR LEE ENG LOO,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.38000806197242,103.736225440727,3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,67957098,na,CPS@MOE.EDU.SG,BOON LAY STATION; LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",MR MUHAMMAD FADYLLA B RASHIMAN,MDM GOH MUI EE,MADAM NG SEOW WEI JOSEPHINE,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35099779872539,103.707593724342,31 JURONG WEST STREET 24 CORPORATION PRIMARY SCHOOL SINGAPORE 648347
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD   ,247961,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MISS LOW SHIOK CHENG CINDY,MRS TAY PO LIN,MISS USHA JEYARAJAH,MR LIM HAN CHEE,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.29331947077104,103.817544461755,357 TANGLIN ROAD CRESCENT GIRLS' SCHOOL SINGAPORE 247961
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24   ,609561,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",MR KWOK CHIN POH BENJAMIN,MR TEH TUAN ANN,MADAM LEE KEE MENG,MR OTHMAN ARSAN BIN MOHD ABUBAKAR,na,na,na,JURONG EAST,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,No,No,No,CHINESE,MALAY,TAMIL,1.3431198045076,103.742628105304,561 JURONG EAST STREET 24 CREST SECONDARY SCHOOL SINGAPORE 609561
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,MADAM LIM PECK CHIN YENLYN,MR MOHAMED JURAIMI BIN ABDUL MUHIN,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33546106800406,103.921270169613,52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD   ,479229,64425629,na,DAMAI_SS@MOE.EDU.SG,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MADAM CHAN WAN SIONG,MR NG CHENG KEONG,MADAM PREMLATHA D/O SELVARAJ,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.33692798510393,103.927091653438,4800 BEDOK RESERVOIR ROAD DAMAI SECONDARY SCHOOL SINGAPORE 479229
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,65636421,na,DAZHONG_PS@MOE.EDU.SG,Bukit Gombak,"187, 188",MR CHRIS LOH KAI MUN,MR KOH KAH HOCK,MRS LIM SEOW KHIM MRS BOEY- LIM SEOW KHIM,MISS TAN HUI YAH,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3591797447277,103.74847210784,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441
